stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000090,90,Albert College Court,,53.3863855316738,-6.26526567275522,,,,
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,
8220DB000092,92,Ballymun Library,,53.389837,-6.264674,,,,
8220DB000093,93,Gateway Avenue,,53.392302,-6.264153,,,,
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,
8220DB000115,115,Ballymun Road Church,,53.3879640919871,-6.26503610048148,,,,
8220DB000116,116,Griffith Lawns,,53.377693,-6.259667,,,,
8220DB000117,117,Walnut Rise,,53.377366,-6.257546,,,,
8220DB000118,118,Clare Road,,53.376643,-6.253592,,,,
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,
8220DB000126,126,Nursing Home,,53.399096,-6.264087,,,,
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,
8220DB000128,128,Glasnevin Avenue,,53.389268,-6.26569,,,,
8220DB000129,129,Glasnevin Drive,,53.38989,-6.271423,,,,
8220DB000130,130,Glasnevin Park,,53.390092,-6.274181,,,,
8220DB000131,131,Willow Park Road,,53.390386,-6.278349,,,,
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,
8220DB000136,136,McKee Road North,,53.3943802013894,-6.28985659650009,,,,
8220DB000137,137,McKee Road,,53.3923167196303,-6.29263079481432,,,,
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,
8220DB000139,139,Grove Park Road,,53.390602,-6.28646,,,,
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,
